class,order,family,genus,specificEpithet,12S,16S,COI,cytB,ITS,matK,psbA-trnH,rbcL,cpGenome_total,mtGenome_total,nucGenome_total,otherLoci_total,total_sequences,cpGenome_GB,mtGenome_GB,nucGenome_GB,otherLoci_GB,cpGenome_RS,mtGenome_RS,nucGenome_RS,otherLoci_RS
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Arachnida,Araneae,Actinopodidae,Missulena,sp.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
